batch,n,set
2019_02_28_batch_0,150,0
2019_02_28_batch_1,1257,0
2019_03_11_batch_0,1870,0
2019_03_19_batch_0,9496,0
2019_03_25_batch_0,9830,0
2019_03_28_batch_0,1500,1
2019_03_29_batch_0,9942,1
2019_04_01_batch_0,9999,1
2019_04_20_batch_0,9960,1
2019_04_24_batch_0,2,1
2019_04_25_batch_0,9936,1
2019_04_30_batch_0,9944,1
2019_05_09_batch_0,9960,1
2019_05_13_batch_0,9940,1
2019_05_21_batch_0,10000,2
2019_05_23_batch_0,9995,2
2019_05_24_batch_0,10000,2
2019_05_26_batch_0,10000,2
2019_05_27_batch_0,10000,2
2019_05_27_batch_1,9883,2
2019_08_03_batch_0,9960,3
2019_08_03_batch_2,9976,3
2019_08_04_batch_0,10000,3
2019_08_10_batch_0,10000,3
2019_08_10_batch_1,10000,3
2019_08_10_batch_2,10000,3
2019_08_11_batch_0,10000,3
2019_08_12_batch_0,10000,3
