"polySuffix","firstInfYear","firstSurveyYear","leftDataBool","rightDataBool","oneDataBool","bothDataBool","neighbouring_data_cat"
"mask_uga_grid_0",NA,2004,FALSE,FALSE,FALSE,FALSE,"none"
"mask_uga_grid_1",NA,2004,FALSE,FALSE,FALSE,FALSE,"none"
"mask_uga_grid_10",NA,2004,FALSE,FALSE,FALSE,FALSE,"none"
"mask_uga_grid_11",2005,2004,TRUE,TRUE,FALSE,TRUE,"both"
"mask_uga_grid_12",2010,2004,TRUE,FALSE,TRUE,FALSE,"one"
"mask_uga_grid_13",2010,2004,TRUE,FALSE,TRUE,FALSE,"one"
"mask_uga_grid_14",NA,2008,FALSE,FALSE,FALSE,FALSE,"none"
"mask_uga_grid_16",2005,2004,TRUE,TRUE,FALSE,TRUE,"both"
"mask_uga_grid_17",2008,2004,TRUE,TRUE,FALSE,TRUE,"both"
"mask_uga_grid_18",2010,2004,TRUE,FALSE,TRUE,FALSE,"one"
"mask_uga_grid_19",NA,2008,FALSE,FALSE,FALSE,FALSE,"none"
"mask_uga_grid_21",2009,2004,TRUE,TRUE,FALSE,TRUE,"both"
"mask_uga_grid_22",2009,2004,TRUE,TRUE,FALSE,TRUE,"both"
"mask_uga_grid_23",NA,2009,FALSE,FALSE,FALSE,FALSE,"none"
"mask_uga_grid_5",NA,2004,FALSE,FALSE,FALSE,FALSE,"none"
"mask_uga_grid_6",2010,2004,FALSE,FALSE,FALSE,FALSE,"none"
"mask_uga_grid_7",NA,2004,FALSE,FALSE,FALSE,FALSE,"none"
"mask_uga_grid_8",NA,2004,FALSE,FALSE,FALSE,FALSE,"none"
"mask_uga_grid_9",NA,2004,FALSE,FALSE,FALSE,FALSE,"none"
